objekt_id,kategorie,objekt_strasse,objekt_ort,plz,zimmer,nutzflaeche,nettomiete,nebenkosten,bruttomiete
6360252,Wohnung,Blankweg 26,Ostermundigen,3072,2.5,NULL,1190,180,1370
6360904,Wohnung,Obere Zollgasse 29a,Ostermundigen,3072,3.5,73,1380,240,1620
6360948,Wohnung,Flurweg 62,Ostermundigen,3072,3,63,1300,240,1540
6362535,Wohnung,NULL,Bern,3013,2.5,70,1875,NULL,1875
6363013,Wohnung,Ringstrasse 25,Ostermundigen,3072,3.5,58,NULL,NULL,NULL
6363459,Wohnung,Quartiergasse 3,Bern,3013,1,28,720,150,870
6363780,Wohnung,Randweg 13,Bern,3013,2,40,1020,170,1190
6364216,Wohnung,Quartiergasse 29,Bern,3013,3,NULL,1218,275,1493
6364261,Wohnung,"Wohnen mit Service und Dienstleistungen, Grubenstrasse 14",Ostermundigen,3072,2.5,67,1590,170,1760
6364262,Wohnung,"Wohnen mit Service und Dienstleistungen, Grubenstrasse                      14",Ostermundigen,3072,1.5,33,840,80,920
6364263,Wohnung,"Wohnen mit Service und Dienstleistungen, Grubenstrasse                      14",Ostermundigen,3072,3.5,87,1660,220,1880
6364615,Wohnung,Sensemattstrasse 31,Thörishaus,3174,2.5,61,1290,220,1510
6364616,Wohnung,Sensemattstrasse 31,Thörishaus,3174,3.5,77,1570,230,1800
6334257,Wohnung,Hopfenweg 37,Bern,3007,4,78,1930,140,2070
6335333,Wohnung,Seftigenstrasse 30,Bern,3007,1.5,41,920,170,1090
6335365,Wohnung,Wiesenstrasse 17,Gümligen,3073,4.5,74,1350,120,1470
6335745,Wohnung,Seftigenstrasse 43,Bern,3007,2.5,NULL,1330,200,1530
6335910,Wohnung,Mülinenstrasse 23,Bern,3006,4,NULL,1750,220,1970
6336242,Wohnung,NULL,Bern,3005,2,55,2700,250,2950
6340100,Wohnung,NULL,Bern,3007,3,80,2300,NULL,2300
6340101,Wohnung,NULL,Bern,3007,2,55,1560,NULL,1560
6340633,Wohnung,Holligenstrasse 121,Bern,3008,2.5,57,1150,190,1340
6342679,Wohnung,Weltpoststrasse 3,Bern,3015,4.5,100,2370,250,2620
6342993,Wohnung,Elfenstrasse 3,Bern,3006,5,146,4500,500,5000
6344878,Wohnung,Bernstrasse 90,Bern,3018,3.5,70,1600,250,1850
6345203,Wohnung,Jupiterstrasse 31,Bern,3015,4.5,NULL,1850,380,2230
6346262,Wohnung,Weissenbühlweg 31,Bern,3007,3,NULL,1190,200,1390
6347228,Wohnung,Bahnhöheweg 40,Bern,3018,2.5,NULL,900,265,1165
6347727,Wohnung,Jupiterstrasse 7,Bern,3015,3.5,75,1540,240,1780
6348125,Wohnung,Steinauweg 23,Bern,3007,2.5,84,1730,240,1970
6351531,Wohnung,Jupiterstrasse 45,Bern,3015,2.5,50,NULL,NULL,1097
6354298,Wohnung,Eigerstrasse 22,Bern,3007,2.5,80,2400,100,2500
6354339,Wohnung,Elfenauweg 23,Bern,3006,3,74,1605,235,1840
6355889,Wohnung,Kirchenfeldstr. 55,Bern,3005,4.5,107,2630,290,2920
6356071,Wohnung,Statthalterstrasse 37,Bern,3018,3,NULL,1350,240,1590
6356299,Wohnung,NULL,Bern,3005,4.5,112,4600,350,4950
6357746,Wohnung,Wabernstrasse 71,Bern,3007,3,85,NULL,NULL,1690
6359144,Wohnung,Kirchenfeldstrasse 74,Bern,3005,NULL,60,2000,NULL,NULL
6359186,Wohnung,Jubiläumsstrasse 73,Bern,3005,4,NULL,1935,215,2150
6360155,Wohnung,Holzikofenweg 29,Bern,3007,2.5,50,NULL,NULL,1500
6363312,Wohnung,Weltpoststrasse 1,Bern,3015,3.5,93,2410,220,2630
6363452,Wohnung,Dunantstrasse 6,Bern,3006,4.5,NULL,1820,280,2100
6363788,Wohnung,Weltpoststrasse 8c,Bern,3015,2.5,98,1730,320,2050
6364256,Wohnung,NULL,Bern,3005,3.5,NULL,1992,NULL,1992
6364757,Wohnung,Sulgenauweg 54,Bern,3007,2.5,68,1255,210,1465
1501317,Wohnung,Wangenstrasse 54,Bern,3018,3.5,NULL,1025,240,1265
2660845,Wohnung,Beethovenstrasse 18,Gümligen,3073,3.5,75,1400,90,1490
2867393,Wohnung,"Lido Park, Worbstrasse 346",Gümligen,3073,3.5,102,2200,150,2350
3686438,Wohnung,Schulhausstrasse 3,Gümligen,3073,4.5,117,2350,300,2650
4286504,Wohnung,Längfeldstrasse 60,Ittigen,3063,4,85,1380,200,1580
4295199,Wohnung,Längfeldstrasse 68,Ittigen,3063,3.5,NULL,1150,270,1420
4321112,Wohnung,Ittigenstrasse 8a,Ittigen,3063,3.5,85,1450,345,1795
4578477,Wohnung,Dorfstrasse 91,Bolligen,3065,5.5,200,2700,350,3050
4760281,Wohnung,Längfeldstrasse 58,Ittigen,3063,3,NULL,1160,130,1290
4819644,Wohnung,Matterstrasse 2,Bern,3006,4.5,124,2800,330,3130
4923787,Wohnung,Schulhausstrasse 5,Gümligen,3073,3.5,86,1889,250,2139
5058728,Wohnung,Dorfstrasse 26,Gümligen,3073,3.5,85,1400,180,1580
5484301,Wohnung,Grauholzstrasse 62,Ittigen,3063,3,63,1090,200,1290
5753152,Wohnung,Eichenweg 4,Ittigen,3063,2.5,80,1580,250,1830
5848271,Wohnung,Lindenhofstrasse 34,Worblaufen,3048,4.5,73,1100,250,1350
5863091,Wohnung,Eichenweg 2,Ittigen,3063,2.5,66,1590,220,1810
5929053,Wohnung,Zwinglistrasse 18,Bern,3007,2.5,56,NULL,NULL,2360
5959199,Wohnung,thunstrasse,Muri b. Bern,3074,4.5,120,1680,250,1930
5992973,Wohnung,Jurastrasse 15,Ittigen,3063,2.5,84,1420,250,1670
6024289,Wohnung,Seftigenstrasse 198,Wabern,3084,5.5,132,2912,300,3212
6047858,Wohnung,Längfeldstrasse 16,Ittigen,3063,3,63,1240,250,1490
6070345,Wohnung,Frikartweg 21,Bern,3006,4.5,129,2335,360,2695
6087302,Wohnung,Lutertalstrasse 55,Bolligen,3065,5.5,145,2480,400,2880
6100747,Wohnung,Beethovenstrasse 19,Gümligen,3073,5,NULL,1690,300,1990
6104312,Wohnung,Beethovenstrasse 21,Gümligen,3073,4.5,80,1600,250,1850
6107269,Wohnung,Schwarzenburgstrasse 73,Liebefeld,3097,2.5,61,1500,180,1680
6118672,Wohnung,Längfeldstrasse 62,Ittigen,3063,3,67,1320,190,1510
6126817,Wohnung,Tannackerstrasse 10a,Gümligen,3073,3.5,NULL,1260,200,1460
6131708,Wohnung,Villettengässli 1,Muri b. Bern,3074,4.5,110,2250,300,2550
6149367,Wohnung,Kohlenweg 20,Liebefeld,3097,3,70,1306,260,1566
6169317,Wohnung,Jurastrasse 65,Ittigen,3063,2.5,84,1340,190,1530
6178901,Wohnung,Fischrainweg 5,Worblaufen,3048,NULL,NULL,30,NULL,30
6180775,Wohnung,Seftigenstrasse 54,Bern,3007,3.5,70,1450,285,1735
6184994,Wohnung,Wangenstrasse 62,Bern,3018,3.5,NULL,1350,230,1580
6184998,Wohnung,Wangenstrasse 62,Bern,3018,1.5,NULL,1050,100,1150
6194089,Wohnung,Funkstrasse 124,Wabern,3084,3,59,1360,215,1575
6194779,Wohnung,Schwarzenburgstrasse 73,Liebefeld,3097,2.5,59,1500,170,1670
6194978,Wohnung,Turbenweg 1 B,Gümligen,3073,3.5,92,2150,230,2380
6197620,Wohnung,Jurastrasse 15,Ittigen,3063,4.5,98,1540,270,1810
6207110,Wohnung,Stampachgasse 6,Bolligen,3065,3.5,103,1430,320,1750
6212374,Wohnung,Worblaufenstrasse 178,Worblaufen,3048,3,NULL,1400,250,1650
